,Name,Magnitude,Diameter (min),Diameter (max),Is Dangerous,Close Approach Date,Speed in KM,Miss Distance
0,308899 (2006 SL198),18.37,0.5630603897,1.2590413069,False,2023-Sep-20 06:42,13.7590725786,49990790.878189195
1,523598 (2003 ED50),20.86,0.1788771952,0.3999815682,True,2023-Sep-20 22:05,24.9769023139,7593732.676978373
2,(2009 PC),23.2,0.0608912622,0.1361570015,False,2023-Sep-20 01:58,9.0322423357,51940953.767917201
3,(2012 WH1),23.9,0.04411182,0.0986370281,False,2023-Sep-20 06:26,12.7238948742,23422519.761286889
4,(2016 EC86),21.5,0.1332155667,0.2978790628,False,2023-Sep-20 14:54,11.3555383593,66721093.682403059
5,(2018 HL1),23.9,0.04411182,0.0986370281,False,2023-Sep-20 23:05,26.7806071035,72003843.340511994
6,(2018 SA1),21.04,0.1646474378,0.3681628631,False,2023-Sep-20 09:28,20.0506452417,68372082.224626475
7,(2020 HP1),28.6,0.0050647146,0.0113250461,False,2023-Sep-20 03:14,5.4525532629,9420460.778431957
8,(2021 VU5),27.5,0.008405334,0.0187948982,False,2023-Sep-20 16:21,10.5739519201,32011575.926039604
9,87684 (2000 SY2),16.05,1.6389095149,3.6647130844,True,2023-Sep-21 19:21,29.2511923887,39298393.89716193
10,(2008 EX5),23.8,0.046190746,0.1032856481,False,2023-Sep-21 07:27,17.9583818683,40845805.332213872
11,(2011 GP59),24.3,0.0366906138,0.0820427065,False,2023-Sep-21 11:57,12.5175173672,53783676.589395232
12,(2015 PK57),24.44,0.0343997255,0.0769201245,False,2023-Sep-21 21:56,9.365119505,9240612.633380535
13,(2015 SD),24.25,0.0375452479,0.0839537266,False,2023-Sep-21 06:10,10.7389779705,11978213.277915422
14,(2017 RU15),22.8,0.0732073989,0.1636967205,False,2023-Sep-21 14:54,22.3796178355,59101689.218063975
15,(2018 DE1),25.5,0.0211132445,0.0472106499,False,2023-Sep-21 16:28,14.6839173376,64621121.436166234
16,(2020 TS),24.7,0.0305179233,0.0682401509,False,2023-Sep-21 09:37,23.5731391792,59135685.049785522
17,(2021 TQ1),28.09,0.0064055286,0.0143231974,False,2023-Sep-21 05:58,20.3897653573,74367407.288005198
18,(2022 CT),25.73,0.0189913123,0.0424658654,False,2023-Sep-21 06:28,8.5561768174,73304962.332637765
19,(2022 SD29),26.48,0.0134448195,0.0300635304,False,2023-Sep-21 05:47,10.5189116588,32591022.15226536
20,(2023 KK1),20.2,0.2424124811,0.5420507863,True,2023-Sep-21 01:09,13.3678083073,29412614.060342127
21,(2023 OG8),21.327,0.1442630058,0.3225818875,False,2023-Sep-21 18:42,5.1971990726,46286921.958346893
